Station Name, Address, Branches,Farezone,Milepost,Parking Capacity
Harlem Avenue,7135 Windsor Ave.,BNSF,B,10.1,154 (2014)
Harvard,1. N. Ayers Street,UP-NW,M,63.1,221 (2014)
Harvey,Park Ave. and 154th St.,Elec-ML,D,20.0,875 (2014)
Hazel Crest,Park Ave. and 170th St.,Elec-ML,E,22.3,140 (2014)
Healy,4014 W. Fullerton Ave.,Milw-N,B,6.4,13 (2014)
Hegewisch,13730 South Brainard Ave.,So Shore,D,19.0,1095 (2014)
Hickory Creek,9430 Hickory Creek Dr.,RI-Main,F,27.5,1109 (2014)
Highland Park,1800 St. John's Ave.,UP-N,E,23.0,416 (2014)
Highlands,1/4 mi. N. of County Line Rd. and 47th St.,BNSF,D,16.4,88 (2014)
Highwood,317 Green Bay Rd.,UP-N,E,24.5,123 (2014)
Hinsdale,1 E. Hinsdale Ave.,BNSF,D,16.9,240 (2014)
Hollywood,Golf Road and Hollywood Ave.,BNSF,C,11.8,49 (2014)
Homewood,Ridge Rd. (at Harwood Ave.),Elec-ML,E,23.5,522 (2014)
Hubbard Woods,1065 Gage St.,UP-N,D,17.7,117 (2014)
I-355 (FUTURE),Walnut Ave.,BNSF,E,23.4,
Indian Hill,111 N. Green Bay Rd.,UP-N,D,15.8,90 (2014)
Ingleside,Washington St. and Rollins Rd.,Milw-N,J,47.8,119 (2014)
Irving Park,4000 N. Kedvale Ave.,UP-NW,B,7.0,89 (2014)
Itasca,Irving Park Rd. (Rt. 19) and Maple St.,Milw-W,E,21.1,346 (2014)
Ivanhoe,144th St. and Tracy St.,Elec-ML,D,18.2,462 (2014)
Jefferson Park,4963 N. Milwaukee Ave.,UP-NW,B,9.1,122 (2014)
Joliet,50 E. Jefferson St.,"RI-Main, Heritage",H,37.2,1008 (2014)
